[0] 0 1 2 3 4 
[1] 0 1 2 4 3 
[2] 0 1 3 2 4 
[3] 0 1 3 4 2 
[4] 0 1 4 3 2 
[5] 0 2 1 3 4 
[6] 0 2 1 4 3 
[7] 0 2 3 1 4 
[8] 0 2 3 4 1 
[9] 0 2 4 3 1 
[10] 0 3 2 1 4 
[11] 0 3 2 4 1 
[12] 0 3 4 2 1 
[13] 0 4 3 2 1 
[14] 1 0 2 3 4 
[15] 1 0 2 4 3 
[16] 1 0 3 2 4 
[17] 1 0 3 4 2 
[18] 1 0 4 3 2 
[19] 1 2 0 3 4 
[20] 1 2 0 4 3 
[21] 1 2 3 0 4 
[22] 1 2 3 4 0 
[23] 1 2 4 3 0 
[24] 1 3 2 0 4 
[25] 1 3 2 4 0 
[26] 1 3 4 2 0 
[27] 1 4 3 2 0 
[28] 2 1 0 3 4 
[29] 2 1 0 4 3 
[30] 2 1 3 0 4 
[31] 2 1 3 4 0 
[32] 2 1 4 3 0 
[33] 2 3 1 0 4 
[34] 2 3 1 4 0 
[35] 2 3 4 1 0 
[36] 2 4 3 1 0 
[37] 3 2 1 0 4 
[38] 3 2 1 4 0 
[39] 3 2 4 1 0 
[40] 3 4 2 1 0 
[41] 4 3 2 1 0 
